0.72,0.43,0.95,0.36,0.92,1.00,0.16,0.62,0.80
0.35,0.31,0.49,0.66,0.73,0.34,0.58,0.12,0.72,0.25
0.87,0.45,0.79,0.50,0.15,0.70,0.08,0.01,0.05,0.04
0.66,0.70,0.71,0.47,0.63,0.63,0.92,0.03,0.03,0.07
0.48,0.99,0.90,0.12,0.79,0.65,0.32,0.93,0.70,0.97
0.39,0.28,0.86,0.56,0.98,0.29,0.91,0.75,0.53,0.79
0.05,0.77,0.29,0.82,0.73,0.85,0.86,0.98,0.52,0.18
0.33,0.10,0.75,0.44,0.89,0.63,0.19,0.28,0.20,0.85
0.38,0.70,0.10,0.50,0.36,0.79,0.34,0.74,0.78,0.63
0.42,0.97,0.48,0.88,0.49,0.40,0.27,0.49,0.13,0.60
0.74,0.12,0.65,0.29,0.05,0.66,0.92,0.45,0.08,0.57
0.88,0.66,0.26,0.27,0.93,0.57,0.25,0.19,0.71,0.04
0.29,0.62,0.15,0.59,0.76,0.96,0.92,0.09,0.40,0.35
0.99,0.66,0.78,0.13,0.74,0.87,0.49,0.01,0.96,0.84
0.10,0.49,0.06,0.00,0.27,0.16,0.91,0.87,0.01,0.62
0.28,0.57,0.04,0.56,0.48,0.09,0.04,0.94,0.17,0.32
0.01,0.68,0.25,0.28,0.08,0.79,0.68,0.95,0.64,0.30
0.68,0.13,0.88,0.36,0.86,0.54,0.80,0.59,0.55,0.52
0.13,0.15,0.83,0.11,0.25,0.65,0.47,0.25,0.97,0.70
0.69,0.59,0.50,0.52,0.66,0.18,0.84,0.77,0.21,0.64
0.65,0.97,0.04,0.56,0.78,0.24,0.55,0.64,0.39,0.12
0.73,0.67,0.05,0.15,0.11,1.00,0.18,0.79,0.44,0.93
0.67,0.75,0.08,0.72,0.50,0.99,0.76,0.35,0.91,0.95
0.17,0.63,0.76,0.15,0.35,0.26,0.77,0.19,0.41,0.42
0.57,0.65,0.71,0.37,0.60,0.93,0.05,0.09,0.28,0.04
0.43,0.54,0.49,0.76,0.24,0.96,0.92,0.42,0.72,0.63
0.34,0.89,0.79,0.76,0.93,0.51,0.16,0.58,0.13,0.76
0.03,0.89,0.80,0.30,0.84,0.85,0.08,0.37,0.70,0.34
0.64,0.36,0.28,0.48,0.36,0.46,0.01,0.27,0.21,0.74
0.93,0.82,0.27,0.98,0.12,0.05,0.32,0.65,0.89,0.23
0.75,0.56,0.35,0.89,0.39,0.49,0.47,0.21,0.26,0.22
0.35,0.11,0.12,0.70,0.66,0.13,0.09,0.36,0.23,0.97
0.20,0.63,0.24,0.83,0.20,0.76,0.57,0.13,0.83,0.60
0.11,0.23,0.41,0.59,0.51,0.78,0.10,0.67,0.12,0.05
0.30,0.40,0.51,0.71,0.93,0.75,0.53,0.22,0.86,0.01
0.90,0.48,0.65,0.04,0.49,0.50,0.09,0.80,0.02,0.53
0.30,0.39,0.80,0.80,0.98,0.49,0.36,1.00,0.82,0.20
0.80,0.11,0.59,0.24,0.39,0.75,0.43,0.11,0.51,0.54
0.01,0.33,0.57,0.93,0.39,0.05,0.65,0.88,0.58,0.78
0.34,0.22,0.80,0.49,0.98,0.74,0.09,0.96,0.98,0.08
0.08,0.36,0.33,0.52,0.97,0.05,0.82,0.06,0.36,0.74
0.12,0.33,0.36,0.35,0.16,0.65,0.57,0.79,0.58,0.78
0.45,0.34,0.87,0.80,0.79,0.68,0.09,0.54,0.59,0.44
0.57,0.12,0.92,0.94,0.95,0.53,0.58,0.55,0.65,0.93
0.56,0.47,0.98,0.81,0.54,0.68,0.41,0.61,0.47,0.50
0.92,0.61,0.14,0.80,0.38,0.07,0.04,0.13,0.65,0.02
0.49,0.01,0.01,0.43,0.64,0.75,0.69,0.44,0.29,0.60
0.05,0.33,0.65,0.21,0.46,0.05,0.94,0.60,0.49,0.44
0.26,0.09,0.11,0.93,0.93,0.94,0.95,0.15,0.63,0.73
0.51,0.88,0.49,0.13,0.37,0.92,0.96,0.95,0.08,0.19
0.02,0.12,0.56,0.56,0.29,0.20,0.34,0.36,0.16,0.13
1.00,0.02,0.32,0.03,0.56,0.73,0.69,0.38,0.82,0.58
0.99,0.49,0.25,0.02,0.14,0.12,0.68,0.67,0.97,0.18
0.79,0.06,0.34,0.37,0.81,0.36,0.74,0.29,0.39,0.65
0.71,0.25,0.45,0.87,0.35,0.12,0.77,0.62,0.38,0.62
0.01,0.46,0.73,0.47,0.36,0.32,0.89,0.13,0.90,0.01
0.20,0.67,0.67,0.40,0.54,0.89,0.02,0.99,0.26,0.31
0.40,0.95,0.65,0.45,0.28,0.10,0.86,0.77,0.58,0.82
0.51,0.29,0.68,0.27,0.89,0.58,0.75,0.72,0.68,0.90
0.71,0.85,0.44,0.17,0.64,0.71,0.93,0.97,0.69,0.37
0.31,0.03,0.40,0.18,0.18,0.09,0.11,0.04,0.12,0.82
0.08,0.41,0.30,0.10,0.88,0.58,0.05,0.24,0.47,0.99
0.15,0.48,0.93,0.17,0.49,0.90,0.14,0.09,0.50,0.75
0.16,0.35,0.75,0.38,0.33,0.31,0.24,0.95,0.92,0.55
0.99,0.09,0.66,0.06,0.68,0.33,0.79,0.15,0.99,0.73
0.63,0.85,0.58,0.43,0.38,0.48,0.20,0.88,0.56,0.70
0.63,0.68,0.97,0.18,0.62,0.59,0.59,0.07,0.95,0.06
0.22,0.21,0.05,0.30,0.52,0.31,0.93,0.18,0.66,0.33
0.45,0.69,0.28,0.10,0.45,0.18,0.26,0.78,0.76,0.27
0.12,0.75,0.03,0.36,0.35,0.66,0.68,0.17,0.50,0.52
0.69,0.70,0.61,0.42,0.64,0.14,0.28,0.20,0.09,0.30
0.57,0.74,0.70,0.97,0.89,0.80,0.57,0.49,0.07,0.97
0.74,0.07,0.18,0.87,0.18,0.85,0.34,0.42,0.98,0.77
0.30,0.82,0.96,0.91,0.62,0.92,0.01,0.90,0.94,0.14
0.66,0.37,0.56,0.77,0.56,0.29,0.90,0.11,0.90,0.79
0.04,0.23,0.88,0.58,0.15,0.13,0.09,0.51,0.08,0.43
0.40,0.94,0.64,0.67,0.26,0.63,0.78,0.89,0.69,0.11
0.85,0.90,0.02,0.22,0.34,0.22,0.45,0.62,0.72,0.67
0.17,0.33,0.33,0.94,0.64,0.13,0.62,0.53,0.81,0.30
0.07,0.96,0.68,0.63,0.29,0.15,0.71,0.41,0.77,0.83
0.86,0.77,0.69,0.72,0.15,0.63,0.09,0.28,0.28,0.27
0.22,0.22,0.45,0.61,0.17,0.58,0.81,0.91,0.89,0.68
0.17,0.12,0.32,0.90,0.92,0.90,0.76,0.04,0.44,0.93
0.02,0.71,0.32,0.08,0.43,0.04,0.94,0.30,0.51,0.17
0.83,0.38,0.99,0.52,0.84,0.15,0.46,0.68,0.65,0.21
0.31,0.15,0.85,0.43,0.46,0.55,0.30,0.51,0.70,0.71
0.82,0.96,0.76,0.95,0.53,0.48,0.43,0.94,0.34,0.15
0.82,0.49,0.19,0.68,0.67,0.60,0.08,0.75,0.15,0.36
0.60,0.11,0.09,0.88,0.03,0.47,0.94,0.22,0.65,0.47
0.16,0.87,0.97,0.86,0.59,0.95,0.72,0.91,0.56,0.13
0.20,0.71,0.88,0.07,0.81,0.91,0.94,0.80,0.97,0.04
0.85,0.59,0.70,0.68,0.64,0.45,0.51,0.58,0.93,0.05
0.27,0.10,0.68,0.03,0.48,0.05,0.89,0.59,0.05,0.96
0.61,0.34,0.30,0.44,0.17,0.96,0.70,0.15,0.85,0.04
0.94,0.63,0.57,0.30,0.59,0.51,0.17,0.36,0.79,0.98
0.24,0.01,0.32,0.89,0.43,0.80,0.99,0.54,0.36,0.75
0.53,0.35,0.21,0.93,0.09,0.19,0.54,0.64,0.12,0.96
0.25,0.51,0.79,0.15,0.83,0.85,0.17,0.81,0.81,0.40
0.81,0.65,0.58,0.38,0.14,0.29,0.73,0.99,0.19,0.24
0.27,0.68,0.20,0.60,0.54,0.31,0.92,0.51,0.71,0.44
